"","county_desc","site_name","election_dt","site_total_age","age_percent_Age 18 - 25","age_percent_Age 26 - 40","age_percent_Age 41 - 65","age_percent_Age Over 66","age_percent_NA","n_Age 18 - 25","n_Age 26 - 40","n_Age 41 - 65","n_Age Over 66","n_NA","site_total_ethnicity","ethnicity_percent_HISPANIC or LATINO","ethnicity_percent_NOT HISPANIC or NOT LATINO","ethnicity_percent_UNDESIGNATED ETHNICITY","n_HISPANIC or LATINO","n_NOT HISPANIC or NOT LATINO","n_UNDESIGNATED ETHNICITY","site_total","race_percent_ASIAN","race_percent_BLACK or AFRICAN AMERICAN","race_percent_INDIAN AMERICAN or ALASKA NATIVE","race_percent_OTHER","race_percent_TWO or MORE RACES","race_percent_UNDESIGNATED RACE","race_percent_WHITE","race_percent_'UNDESIGNATED","n_ASIAN","n_BLACK or AFRICAN AMERICAN","n_INDIAN AMERICAN or ALASKA NATIVE","n_OTHER","n_TWO or MORE RACES","n_UNDESIGNATED RACE","n_WHITE","n_'UNDESIGNATED","n","sdr_percent","race_percent_NATIVE HAWAIIAN or PACIFIC ISLANDER","n_NATIVE HAWAIIAN or PACIFIC ISLANDER","election"
"78","CATAWBA","HIGHLAND RECREATION CENTER","11/08/2016",15699,0.054,0.153,0.49,0.295,0.008,845,2396,7692,4636,130,15699,0.018,0.843,0.139,282,13236,2181,15699,0.008,0.123,0.001,0.016,0.003,0.018,0.83,NA,132,1937,14,248,49,283,13036,NA,454,0.029,NA,NA,"2016-11"
"79","CATAWBA","MAIN LIBRARY","11/08/2016",13847,0.053,0.145,0.505,0.29,0.007,733,2006,6994,4015,99,13847,0.016,0.863,0.121,215,11956,1676,13847,0.008,0.094,0.001,0.013,0.002,0.015,0.867,NA,113,1299,11,184,30,204,12006,NA,394,0.028,NA,NA,"2016-11"
"80","CATAWBA","SHERRILLS FORD-TERRELL BRANCH LIBRARY","11/08/2016",5288,0.046,0.135,0.543,0.268,0.008,242,714,2872,1416,44,5288,0.008,0.823,0.169,40,4353,895,5288,0.003,0.025,0.002,0.005,0.003,0.02,0.943,NA,14,134,9,25,15,104,4987,NA,202,0.038,NA,NA,"2016-11"
"81","CATAWBA","SOUTHWEST LIBRARY","11/08/2016",7196,0.057,0.165,0.533,0.237,0.009,408,1189,3832,1704,63,7196,0.008,0.857,0.135,61,6164,971,7196,0.008,0.056,0.002,0.012,0.001,0.024,0.898,NA,56,404,11,84,8,172,6461,NA,312,0.043,NA,NA,"2016-11"
"82","CHATHAM","CHATHAM COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",9832,0.038,0.143,0.493,0.319,0.007,377,1406,4844,3137,68,9832,0.016,0.737,0.247,156,7245,2431,9832,0.006,0.144,0.002,0.013,0.004,0.056,0.775,NA,59,1415,18,126,36,555,7623,NA,286,0.029,NA,NA,"2016-11"
"83","CHATHAM","GOLDSTON TOWN HALL","11/08/2016",1443,0.065,0.157,0.466,0.301,0.01,94,227,673,434,15,1443,0.006,0.801,0.193,9,1156,278,1443,0.001,0.22,0.003,0.006,0.002,0.046,0.723,NA,1,318,4,8,3,66,1043,NA,65,0.045,NA,NA,"2016-11"
"84","CHATHAM","NORTH CHATHAM BRIAR CHAPEL PARK","11/08/2016",11742,0.035,0.149,0.449,0.362,0.005,410,1754,5269,4252,57,11742,0.01,0.76,0.23,121,8926,2695,11742,0.015,0.063,0.001,0.014,0.005,0.051,0.851,NA,178,734,16,164,54,604,9992,NA,245,0.021,NA,NA,"2016-11"
"85","CHATHAM","SILER CITY COMMUNITY CENTER","11/08/2016",5194,0.065,0.143,0.469,0.309,0.013,340,745,2438,1605,66,5194,0.057,0.748,0.195,296,3885,1013,5194,0.003,0.244,0.002,0.029,0.006,0.062,0.655,NA,15,1268,8,149,29,321,3404,NA,163,0.031,NA,NA,"2016-11"
"86","CHEROKEE","CHEROKEE COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",7134,0.046,0.108,0.455,0.385,0.006,327,768,3248,2747,44,7134,0.006,0.87,0.124,42,6208,884,7134,0.004,0.009,0.006,0.005,0.002,0.006,0.968,NA,25,62,45,35,17,44,6906,NA,194,0.027,NA,NA,"2016-11"
"87","CHOWAN","CHOWAN COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",4510,0.042,0.144,0.46,0.348,0.006,189,651,2075,1569,26,4510,0.003,0.829,0.168,15,3737,758,4510,0.002,0.286,0.001,0.005,0.001,0.009,0.696,NA,7,1290,5,21,4,42,3141,NA,107,0.024,NA,NA,"2016-11"
"88","CHOWAN","NORTHERN CHOWAN COMM CENTER","11/08/2016",381,0.071,0.157,0.465,0.299,0.008,27,60,177,114,3,381,0.003,0.803,0.194,1,306,74,381,NA,0.171,0.005,0.005,NA,0.013,0.806,NA,NA,65,2,2,NA,5,307,NA,16,0.042,NA,NA,"2016-11"
"89","CLAY","CLAY COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",3697,0.038,0.11,0.419,0.429,0.004,142,405,1548,1587,15,3697,0.003,0.859,0.139,10,3174,513,3697,0.001,0.002,0.001,0.001,NA,0.016,0.979,NA,4,6,2,5,NA,61,3619,NA,65,0.018,NA,NA,"2016-11"
"90","CLEVELAND","BETHEL BAPTIST CHURCH","11/08/2016",18525,0.057,0.149,0.488,0.299,0.008,1055,2754,9033,5539,144,18525,0.007,0.846,0.147,125,15675,2725,18525,0.002,0.28,0.001,0.006,0.003,0.022,0.685,NA,43,5194,18,102,59,415,12694,NA,656,0.035,NA,NA,"2016-11"
"91","CLEVELAND","BOILING SPRINGS TOWN HALL (NEW)","11/08/2016",3360,0.089,0.188,0.502,0.209,0.013,298,631,1686,703,42,3360,0.003,0.857,0.139,11,2881,468,3360,0.001,0.059,0.001,0.004,0.001,0.026,0.909,NA,4,197,5,12,2,87,3053,NA,148,0.044,NA,NA,"2016-11"
"92","CLEVELAND","MT. ZION BAPTIST CHURCH","11/08/2016",5931,0.061,0.168,0.514,0.248,0.009,363,998,3050,1468,52,5931,0.007,0.834,0.159,39,4947,945,5931,0.002,0.222,0.001,0.005,0.001,0.024,0.744,NA,13,1318,6,32,6,142,4414,NA,287,0.048,NA,NA,"2016-11"
"93","COLUMBUS","BOLTON TOWN HALL","11/08/2016",444,0.027,0.18,0.511,0.268,0.014,12,80,227,119,6,444,0.002,0.847,0.151,1,376,67,444,0.005,0.435,0.144,0.002,NA,0.009,0.405,NA,2,193,64,1,NA,4,180,NA,14,0.032,NA,NA,"2016-11"
"94","COLUMBUS","CHADBOURN MUNICIPAL ANNEX","11/08/2016",726,0.047,0.149,0.474,0.32,0.011,34,108,344,232,8,726,0.001,0.876,0.123,1,636,89,726,0.001,0.406,0.017,0.007,0.004,0.01,0.555,NA,1,295,12,5,3,7,403,NA,20,0.028,NA,NA,"2016-11"
"95","COLUMBUS","COLUMBUS COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",8231,0.059,0.144,0.456,0.334,0.007,486,1185,3756,2750,54,8231,0.005,0.849,0.146,42,6991,1198,8231,0.002,0.317,0.02,0.007,0.002,0.008,0.644,NA,20,2607,165,55,20,66,5298,NA,310,0.038,NA,NA,"2016-11"
"96","COLUMBUS","EC SENIOR CENTER","11/08/2016",1429,0.058,0.153,0.481,0.303,0.006,83,218,687,433,8,1429,0.004,0.781,0.215,6,1116,307,1429,0.001,0.419,0.022,0.005,0.004,0.013,0.536,NA,1,599,31,7,6,19,766,NA,59,0.041,NA,NA,"2016-11"
"97","COLUMBUS","FAIR BLUFF JOHNNIE'S SANDWICH SHOP","11/08/2016",265,0.03,0.136,0.408,0.419,0.008,8,36,108,111,2,265,NA,0.868,0.132,NA,230,35,265,NA,0.249,0.004,NA,NA,0.011,0.736,NA,NA,66,1,NA,NA,3,195,NA,2,0.008,NA,NA,"2016-11"
"98","COLUMBUS","THE RITZ","11/08/2016",1297,0.049,0.148,0.48,0.316,0.008,63,192,622,410,10,1297,0.001,0.867,0.133,1,1124,172,1297,0.002,0.274,0.002,0.002,0.001,0.005,0.715,NA,2,356,2,2,1,7,927,NA,35,0.027,NA,NA,"2016-11"
"99","CRAVEN","COVE CITY FD","11/08/2016",1733,0.043,0.139,0.473,0.335,0.01,75,241,820,580,17,1733,0.006,0.875,0.119,10,1517,206,1733,NA,0.267,0.001,0.005,0.002,0.014,0.711,NA,NA,462,2,8,4,24,1233,NA,43,0.025,NA,NA,"2016-11"
"100","CRAVEN","CRAVEN COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",12921,0.047,0.151,0.458,0.336,0.008,609,1951,5919,4345,97,12921,0.011,0.843,0.146,137,10897,1887,12921,0.011,0.272,0.002,0.012,0.003,0.017,0.683,NA,147,3510,23,151,42,217,8831,NA,337,0.026,NA,NA,"2016-11"
"101","CRAVEN","GRANTHAM-NO. 7 FIRE DEPT","11/08/2016",3935,0.044,0.169,0.478,0.301,0.008,172,666,1881,1185,31,3935,0.01,0.86,0.13,38,3386,511,3935,0.006,0.073,0.001,0.011,0.001,0.019,0.889,NA,22,288,3,42,5,75,3500,NA,106,0.027,NA,NA,"2016-11"
"102","CRAVEN","NEW BEGINNINGS MINISTRY OF FAITH","11/08/2016",5478,0.055,0.181,0.521,0.232,0.011,299,990,2856,1272,61,5478,0.027,0.813,0.16,149,4451,878,5478,0.015,0.232,0.004,0.033,0.005,0.017,0.694,NA,84,1270,24,179,28,92,3801,NA,212,0.039,NA,NA,"2016-11"
"103","CRAVEN","RHEMS FIRE DEPARTMENT","11/08/2016",2661,0.032,0.116,0.411,0.435,0.006,86,309,1093,1157,16,2661,0.005,0.878,0.118,12,2336,313,2661,0.005,0.084,NA,0.005,0.001,0.014,0.892,NA,12,223,NA,12,3,37,2374,NA,39,0.015,NA,NA,"2016-11"
"104","CRAVEN","VANCEBORO FIRE DEPARTMENT","11/08/2016",3056,0.059,0.157,0.486,0.29,0.008,180,480,1485,887,24,3056,0.007,0.839,0.153,22,2565,469,3056,0.001,0.243,0.002,0.007,0.003,0.02,0.724,NA,2,744,6,21,9,62,2212,NA,88,0.029,NA,NA,"2016-11"
"105","CRAVEN","WEST NEW BERN RECREATION CENTER","11/08/2016",3059,0.057,0.192,0.42,0.32,0.012,174,586,1285,978,36,3059,0.011,0.852,0.137,34,2607,418,3059,0.012,0.206,0.003,0.009,0.002,0.017,0.751,NA,36,629,9,28,7,53,2297,NA,89,0.029,NA,NA,"2016-11"
"106","CUMBERLAND","CLIFFDALE RECREATION CENTER","11/08/2016",14629,0.074,0.211,0.508,0.196,0.01,1084,3093,7435,2866,151,14629,0.05,0.696,0.254,728,10178,3723,14629,0.017,0.596,0.005,0.056,0.012,0.043,0.271,NA,250,8716,66,824,176,633,3964,NA,729,0.05,NA,NA,"2016-11"
"107","CUMBERLAND","CUMBERLAND COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",12304,0.053,0.166,0.502,0.271,0.008,646,2041,6176,3340,101,12304,0.027,0.744,0.229,335,9154,2815,12304,0.009,0.458,0.011,0.033,0.01,0.026,0.453,NA,108,5634,137,403,119,324,5579,NA,550,0.045,NA,NA,"2016-11"
"108","CUMBERLAND","EAST REGIONAL LIBRARY","11/08/2016",7331,0.06,0.166,0.537,0.223,0.013,440,1220,3937,1637,97,7331,0.016,0.784,0.2,115,5748,1468,7331,0.004,0.246,0.015,0.021,0.005,0.02,0.689,NA,31,1801,112,157,37,145,5048,NA,309,0.042,NA,NA,"2016-11"
"109","CUMBERLAND","EE MILLER RECREATION CENTER","11/08/2016",5995,0.081,0.232,0.539,0.135,0.013,484,1393,3231,812,75,5995,0.059,0.646,0.295,356,3872,1767,5995,0.009,0.648,0.005,0.055,0.014,0.046,0.224,NA,54,3884,27,329,82,275,1344,NA,344,0.057,NA,NA,"2016-11"
"110","CUMBERLAND","GRAY'S CREEK RECREATION CENTER","11/08/2016",4308,0.057,0.247,0.532,0.15,0.013,247,1066,2292,645,58,4308,0.029,0.729,0.242,123,3141,1044,4308,0.007,0.247,0.016,0.029,0.005,0.024,0.672,NA,30,1062,70,126,21,102,2897,NA,225,0.052,NA,NA,"2016-11"
"111","CUMBERLAND","HOPE MILLS RECREATION CENTER","11/08/2016",12294,0.063,0.188,0.551,0.186,0.012,771,2316,6775,2289,143,12294,0.05,0.692,0.257,619,8513,3162,12294,0.011,0.338,0.013,0.044,0.011,0.036,0.548,NA,137,4153,158,540,132,441,6733,NA,532,0.043,NA,NA,"2016-11"
"112","CUMBERLAND","KIWANIS RECREATION CENTER","11/08/2016",5518,0.077,0.22,0.488,0.202,0.013,424,1216,2693,1113,72,5518,0.034,0.757,0.208,190,4178,1150,5518,0.019,0.288,0.007,0.042,0.01,0.034,0.6,NA,103,1590,41,233,53,186,3312,NA,244,0.044,NA,NA,"2016-11"
"113","CUMBERLAND","NORTH REGIONAL LIBRARY","11/08/2016",12075,0.067,0.188,0.513,0.221,0.01,815,2276,6192,2670,122,12075,0.032,0.74,0.227,392,8941,2742,12075,0.012,0.502,0.004,0.037,0.011,0.031,0.403,NA,140,6056,51,451,137,373,4867,NA,540,0.045,NA,NA,"2016-11"
"114","CUMBERLAND","SMITH RECREATION CENTER","11/08/2016",4719,0.177,0.173,0.416,0.199,0.036,834,815,1962,939,169,4719,0.019,0.689,0.292,88,3251,1380,4719,0.003,0.88,0.004,0.02,0.012,0.043,0.037,NA,16,4155,17,94,58,203,176,NA,451,0.096,NA,NA,"2016-11"
"115","CUMBERLAND","SPRING LAKE MULTIPUROSE COMMUNITY CENTER","11/08/2016",2250,0.103,0.264,0.444,0.173,0.015,232,595,999,390,34,2250,0.062,0.675,0.264,139,1518,593,2250,0.015,0.563,0.004,0.053,0.018,0.057,0.291,NA,34,1266,8,119,40,128,655,NA,227,0.101,NA,NA,"2016-11"
"116","CURRITUCK","CURRITUCK COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",5029,0.043,0.139,0.541,0.271,0.007,216,698,2720,1362,33,5029,0.006,0.474,0.52,30,2385,2614,5029,0.002,0.069,0.003,0.007,0.003,0.017,0.899,NA,11,347,13,34,15,86,4523,NA,141,0.028,NA,NA,"2016-11"
"117","DARE","DARE COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",4410,0.035,0.152,0.515,0.294,0.004,155,671,2269,1297,18,4410,0.009,0.629,0.362,39,2774,1597,4410,0.001,0.047,0.002,0.009,0.002,0.018,0.92,NA,5,207,10,40,10,81,4057,NA,106,0.024,NA,NA,"2016-11"
"118","DARE","FESSENDEN","11/08/2016",790,0.024,0.13,0.505,0.337,0.004,19,103,399,266,3,790,0.008,0.673,0.319,6,532,252,790,NA,NA,NA,0.009,0.001,0.01,0.98,NA,NA,NA,NA,7,1,8,774,NA,23,0.029,NA,NA,"2016-11"
"119","DARE","KILL DEVIL HILLS TOWN HALL","11/08/2016",2839,0.032,0.12,0.521,0.323,0.004,92,341,1479,916,11,2839,0.007,0.556,0.436,21,1579,1239,2839,0.002,0.005,0.001,0.011,0.004,0.013,0.964,NA,7,15,3,30,10,36,2738,NA,58,0.02,NA,NA,"2016-11"
"120","DARE","PITT CENTER","11/08/2016",2322,0.016,0.081,0.485,0.415,0.004,37,187,1126,963,9,2322,0.006,0.562,0.432,15,1305,1002,2322,0.002,0.004,0,0.003,0.001,0.008,0.981,NA,4,9,1,8,3,19,2278,NA,28,0.012,NA,NA,"2016-11"
"121","DAVIDSON","ARCADIA COMM BLDG","11/08/2016",7462,0.053,0.152,0.536,0.251,0.008,397,1136,4001,1871,57,7462,0.005,0.837,0.159,34,6245,1183,7462,0.002,0.024,0.001,0.004,0.001,0.008,0.96,NA,14,181,8,29,8,58,7164,NA,183,0.025,NA,NA,"2016-11"
"122","DAVIDSON","DAVIDSON COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",12745,0.058,0.138,0.509,0.286,0.008,743,1762,6493,3644,103,12745,0.012,0.84,0.148,147,10709,1889,12745,0.004,0.125,0.002,0.013,0.002,0.011,0.843,NA,55,1597,30,165,20,136,10742,NA,476,0.037,NA,NA,"2016-11"
"123","DAVIDSON","DENTON LIBRARY","11/08/2016",4587,0.058,0.164,0.504,0.264,0.01,265,754,2311,1212,45,4587,0.002,0.848,0.15,9,3889,689,4587,0.001,0.001,0.001,0.003,0,0.017,0.978,NA,4,4,5,12,2,76,4484,NA,190,0.041,NA,NA,"2016-11"
"124","DAVIDSON","MIDWAY FIRE DEPT","11/08/2016",7582,0.049,0.165,0.515,0.262,0.009,371,1254,3901,1989,67,7582,0.007,0.813,0.18,54,6162,1366,7582,0.002,0.063,0.002,0.005,0.001,0.013,0.915,NA,12,478,12,39,5,99,6937,NA,211,0.028,NA,NA,"2016-11"
"125","DAVIDSON","THOMASVILLE LIBRARY","11/08/2016",10212,0.063,0.158,0.489,0.281,0.009,642,1616,4996,2870,88,10212,0.017,0.78,0.202,178,7968,2066,10212,0.004,0.134,0.003,0.011,0.003,0.044,0.802,NA,40,1365,28,114,28,446,8191,NA,403,0.039,NA,NA,"2016-11"
"126","DAVIE","BERMUDA RUN TOWN HALL","11/08/2016",3966,0.047,0.127,0.535,0.285,0.006,186,505,2120,1132,23,3966,0.007,0.81,0.182,29,3214,723,3966,0.005,0.022,0.002,0.007,0.003,0.024,0.937,NA,20,86,6,29,12,95,3718,NA,101,0.025,NA,NA,"2016-11"
"127","DAVIE","DAVIE COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",7329,0.055,0.131,0.479,0.326,0.009,400,962,3510,2389,68,7329,0.016,0.843,0.141,114,6182,1033,7329,0.002,0.098,0.002,0.012,0.002,0.026,0.859,NA,17,718,11,86,17,187,6293,NA,247,0.034,NA,NA,"2016-11"
"128","DAVIE","FORK CIVIC CENTER","11/08/2016",721,0.042,0.157,0.538,0.261,0.003,30,113,388,188,2,721,NA,0.889,0.111,NA,641,80,721,NA,0.037,NA,NA,0.001,0.018,0.943,NA,NA,27,NA,NA,1,13,680,NA,21,0.029,NA,NA,"2016-11"
"129","DAVIE","JERUSALEM VOL FIRE DEPT","11/08/2016",809,0.064,0.14,0.493,0.289,0.014,52,113,399,234,11,809,0.002,0.889,0.109,2,719,88,809,0.001,0.064,0.001,0.002,0.001,0.033,0.896,NA,1,52,1,2,1,27,725,NA,28,0.035,NA,NA,"2016-11"
"130","DAVIE","WILLIAM R DAVIE VOL FIRE DEPT","11/08/2016",912,0.058,0.166,0.511,0.253,0.012,53,151,466,231,11,912,0.002,0.872,0.126,2,795,115,912,0.001,0.032,0.001,0.001,0.001,0.021,0.943,NA,1,29,1,1,1,19,860,NA,23,0.025,NA,NA,"2016-11"
"131","DUPLIN","KENAN AUDITORIUM","11/08/2016",2,NA,NA,1,NA,NA,NA,NA,2,NA,NA,2,NA,0.5,0.5,NA,1,1,2,NA,0.5,NA,NA,NA,NA,0.5,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"2016-11"
"132","DUPLIN","KENAN MEMORIAL AUDITORIUM","11/08/2016",10914,0.062,0.151,0.47,0.302,0.015,672,1653,5135,3294,160,10914,0.027,0.784,0.189,300,8554,2060,10914,0.001,0.33,0.001,0.014,0.004,0.029,0.62,NA,15,3601,16,156,40,320,6766,NA,390,0.036,NA,NA,"2016-11"
"133","DURHAM","DUKE - DEVIL'S DEN","11/08/2016",8365,0.406,0.288,0.203,0.038,0.065,3398,2406,1700,320,541,8365,0.05,0.688,0.262,421,5753,2191,8365,0.1,0.112,0.003,0.025,0.03,0.107,0.622,NA,839,937,23,212,251,898,5205,NA,629,0.075,NA,NA,"2016-11"
"134","DURHAM","DURHAM COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",18903,0.082,0.327,0.433,0.153,0.005,1547,6185,8192,2885,94,18903,0.028,0.693,0.279,536,13091,5276,18903,0.014,0.458,0.002,0.021,0.015,0.05,0.439,NA,273,8660,43,400,292,940,8295,NA,728,0.039,NA,NA,"2016-11"
"135","DURHAM","DURHAM TECH - NORTH CAMPUS","11/08/2016",1400,0.058,0.209,0.563,0.162,0.009,81,292,788,227,12,1400,0.019,0.784,0.198,26,1097,277,1400,0.009,0.195,0.001,0.018,0.009,0.029,0.739,NA,13,273,1,25,13,41,1034,NA,67,0.048,NA,NA,"2016-11"
"136","DURHAM","DURHAM TECHNICAL COMMUNITY COLLEGE","11/08/2016",1785,0.25,0.31,0.352,0.049,0.039,446,553,629,88,69,1785,0.079,0.631,0.29,141,1126,518,1785,0.022,0.579,0.003,0.05,0.027,0.071,0.248,NA,39,1034,5,89,48,127,443,NA,117,0.066,NA,NA,"2016-11"
"137","DURHAM","EAST REGIONAL LIBRARY","11/08/2016",14865,0.06,0.268,0.486,0.179,0.007,885,3982,7220,2667,111,14865,0.031,0.706,0.262,462,10502,3901,14865,0.015,0.472,0.002,0.02,0.01,0.05,0.431,NA,216,7023,29,304,142,743,6408,NA,472,0.032,NA,NA,"2016-11"
"138","DURHAM","ENO RIVER UNITARIAN UNIVERSALIST FELLOWSHIP","11/08/2016",18276,0.083,0.294,0.407,0.211,0.005,1514,5370,7442,3855,95,18276,0.026,0.757,0.217,474,13840,3962,18276,0.029,0.144,0.002,0.025,0.011,0.046,0.744,NA,521,2636,42,449,199,836,13593,NA,518,0.028,NA,NA,"2016-11"
"139","DURHAM","GREATER EMMANUAL TEMPLE OF GRACE","11/08/2016",1270,0.105,0.329,0.434,0.117,0.016,133,418,551,148,20,1270,0.039,0.631,0.33,50,801,419,1270,0.007,0.709,0.002,0.017,0.014,0.065,0.186,NA,9,901,2,21,18,83,236,NA,74,0.058,NA,NA,"2016-11"
"140","DURHAM","IVY CENTER","11/08/2016",4738,0.102,0.34,0.384,0.164,0.009,483,1612,1820,778,45,4738,0.026,0.691,0.283,121,3275,1342,4738,0.033,0.615,0.003,0.022,0.011,0.049,0.266,NA,158,2916,14,103,54,233,1260,NA,239,0.05,NA,NA,"2016-11"
"141","DURHAM","NCCU ONESTOP","11/08/2016",3985,0.445,0.174,0.216,0.073,0.093,1772,693,859,291,370,3985,0.021,0.545,0.434,82,2173,1730,3985,0.005,0.823,0.002,0.014,0.019,0.085,0.052,NA,18,3281,8,56,75,340,207,NA,573,0.144,NA,NA,"2016-11"
"142","DURHAM","NEW JERUSALEM BAPTIST CATHEDRAL","11/08/2016",2494,0.103,0.336,0.432,0.115,0.013,257,839,1077,288,33,2494,0.033,0.656,0.312,82,1635,777,2494,0.012,0.725,0.001,0.021,0.009,0.053,0.178,NA,31,1808,3,53,22,133,444,NA,142,0.057,NA,NA,"2016-11"
"143","DURHAM","NORTH REGIONAL LIBRARY","11/08/2016",19350,0.053,0.171,0.487,0.281,0.008,1028,3308,9426,5437,151,19350,0.019,0.775,0.206,370,14993,3987,19350,0.014,0.293,0.002,0.019,0.007,0.029,0.637,NA,268,5663,47,358,139,553,12322,NA,371,0.019,NA,NA,"2016-11"
"144","DURHAM","SOUTH REGIONAL LIBRARY","11/08/2016",21958,0.065,0.318,0.441,0.172,0.005,1417,6977,9685,3767,112,21958,0.028,0.716,0.256,621,15720,5617,21958,0.033,0.415,0.002,0.027,0.011,0.042,0.469,NA,735,9108,52,596,251,914,10302,NA,685,0.031,NA,NA,"2016-11"
"145","DURHAM","THE FRONTIER","11/08/2016",2257,0.096,0.463,0.383,0.053,0.005,216,1044,865,120,12,2257,0.032,0.698,0.27,73,1575,609,2257,0.047,0.237,0.002,0.028,0.014,0.055,0.617,NA,106,535,5,64,31,124,1392,NA,202,0.089,NA,NA,"2016-11"
"146","EDGECOMBE","EDGECOMBE COUNTY ADMINISTRATIVE BUILDING - AUDITOR","11/08/2016",6464,0.062,0.153,0.477,0.296,0.012,402,988,3082,1914,78,6464,0.004,0.826,0.17,29,5337,1098,6464,0,0.528,0.001,0.005,0.002,0.007,0.457,NA,2,3416,7,32,10,46,2951,NA,165,0.026,NA,NA,"2016-11"
"147","EDGECOMBE","EDGECOMBE COUNTY MEMORIAL LIBRARY (PINETOPS BRANCH","11/08/2016",2339,0.075,0.141,0.507,0.255,0.022,175,329,1187,596,52,2339,0.008,0.858,0.134,18,2008,313,2339,0.002,0.384,0.001,0.006,0.001,0.007,0.599,NA,4,899,3,13,2,16,1402,NA,90,0.038,NA,NA,"2016-11"
"148","EDGECOMBE","MC BRASWELL CULTURAL & EDUCATIONAL DEVELOPMENT CEN","11/08/2016",593,0.066,0.135,0.511,0.28,0.008,39,80,303,166,5,593,0.002,0.82,0.179,1,486,106,593,NA,0.799,0.003,0.002,0.002,0.007,0.187,NA,NA,474,2,1,1,4,111,NA,15,0.025,NA,NA,"2016-11"
"149","EDGECOMBE","OPPORTUNITIES INDUSTRIALIZATION CENTER OIC","11/08/2016",1340,0.08,0.187,0.505,0.193,0.034,107,251,677,259,46,1340,0.004,0.787,0.208,6,1055,279,1340,0.001,0.93,0.003,0.002,0.005,0.02,0.038,NA,2,1246,4,3,7,27,51,NA,78,0.058,NA,NA,"2016-11"
"150","EDGECOMBE","ROCKY MOUNT DEPARTMENT OF SOCIAL SERVICES","11/08/2016",5818,0.069,0.167,0.487,0.261,0.017,400,971,2835,1516,96,5818,0.004,0.794,0.202,24,4620,1174,5818,0,0.818,0.001,0.004,0.004,0.012,0.16,NA,2,4758,6,26,24,70,932,NA,269,0.046,NA,NA,"2016-11"
"151","EDGECOMBE","SPEED VOLUNTEER FIRE DEPT","11/08/2016",99,0.04,0.222,0.455,0.273,0.01,4,22,45,27,1,99,NA,0.848,0.152,NA,84,15,99,NA,0.525,NA,NA,0.01,0.03,0.434,NA,NA,52,NA,NA,1,3,43,NA,2,0.02,NA,NA,"2016-11"
"152","FORSYTH","BROWN DOUGLAS RECREATION CENTER","11/08/2016",4042,0.112,0.221,0.44,0.216,0.011,451,893,1777,875,46,4042,0.024,0.686,0.289,99,2774,1169,4042,0.004,0.685,0.001,0.02,0.007,0.059,0.224,NA,18,2770,4,81,27,238,904,NA,131,0.032,NA,NA,"2016-11"
"153","FORSYTH","CLEMMONS LIBRARY","11/08/2016",7628,0.052,0.169,0.489,0.281,0.008,396,1292,3732,2147,61,7628,0.024,0.799,0.178,180,6091,1357,7628,0.016,0.101,0.002,0.021,0.005,0.023,0.832,NA,122,769,16,161,39,172,6349,NA,246,0.032,NA,NA,"2016-11"
"154","FORSYTH","FORSYTH COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",16945,0.091,0.213,0.503,0.183,0.01,1536,3614,8520,3100,175,16945,0.027,0.723,0.25,459,12243,4243,16945,0.01,0.448,0.001,0.021,0.008,0.047,0.466,NA,165,7590,21,362,129,788,7890,NA,536,0.032,NA,NA,"2016-11"
"155","FORSYTH","HARPER HILL  SHOPPING CENTER","11/08/2016",7760,0.048,0.18,0.474,0.284,0.014,376,1393,3682,2202,107,7760,0.016,0.792,0.192,123,6149,1488,7760,0.014,0.126,0.001,0.018,0.005,0.024,0.813,NA,106,978,8,139,36,186,6307,NA,187,0.024,NA,NA,"2016-11"
"156","FORSYTH","KERNERSVILLE SENIOR CENTER","11/08/2016",9114,0.053,0.175,0.51,0.255,0.008,485,1593,4646,2320,70,9114,0.025,0.766,0.209,227,6981,1906,9114,0.008,0.122,0.003,0.02,0.004,0.043,0.801,NA,71,1111,23,184,33,395,7297,NA,266,0.029,NA,NA,"2016-11"
"157","FORSYTH","LEWISVILLE LIBRARY","11/08/2016",6889,0.053,0.136,0.525,0.276,0.01,367,937,3614,1902,69,6889,0.011,0.813,0.176,78,5600,1211,6889,0.009,0.049,0.002,0.013,0.003,0.029,0.895,NA,65,340,13,90,21,197,6163,NA,138,0.02,NA,NA,"2016-11"
